Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
PRETTYME,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKTIBeeuIvNa,11%,,Aktif,,,,Tidak,
PRETTYME,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AKTuYLkEL6Ue,12%,,Aktif,,,,Tidak,
Rajagrosir Kit,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK3zONVNwpqx,10%,,Aktif,,,,Tidak,
Reymeera Store,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJcv0Zo9FMG2,10%,,Aktif,,,,Tidak,
Rider (Fashion Pria Dalaman),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ7sUMpf1R1Z,10-11%,Ya,Aktif,,,,Tidak,
Scarlett,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJaa0YfX1HjA,10%,,Aktif,,,,Tidak,
Scarlett,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJaa0csUhjS8,10% (2.0),,Aktif,,,,Tidak,
SKMEI,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMV6vIBOQJ4,10%,,Aktif,,,,Tidak,
Slavina,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJfmm9e8Io2E,10%,Ya,Aktif,,,,Tidak,
Toothbrush airuidu,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKnaYhpecf9j,10%,,Not Updated,,,,Tidak,
Tulandut (Underwear Pria),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJuIEQF7ln4v,10%,,Aktif,,,,Tidak,
Tulandut (Underwear Wanita),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJtPWAZDamhU,10%,,Aktif,,,,Tidak,
Vitalis,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL6OnA4sFiVP,10%,,Aktif,,,,Tidak,
WAGMI (buku Leo_Geovanii),Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLoojtwHIhZ,10%,,Aktif,,,,Tidak,
YOU (Hebe),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKAgbsRgxhEc,10-11%,,Aktif,,,,Tidak,
Youware,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLTaJ7aZkLf,10%,,Aktif,,,,Tidak,
Advance,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ0Q8nOIOC5t,9%,,Updated,,,,Tidak,
Amilio House,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMXvFvXYYLY,9%-11%,,Aktif,,,,Tidak,
Azarine,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKdIWTqUD1N3,9%,,Aktif,,,,Tidak,
Azarine,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKdIWi2Kw999,10%,,Aktif,,,,Tidak,
BARBER DAILY,Beauty & Health,HDA X Makarizo,https://affiliate-id.tokopedia.com/api/v1/share/AKZh5XIDdLKe,9%,,Updated,,,,Tidak,8 July 2026
Barenbliss (Hebe),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJtzeG1znVz9,9%,,Aktif,,,,Tidak,
Barenbliss (Hebe),Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJtzgHdzvPD9,9% 2.0,,Aktif,,,,Tidak,
Barenbliss (Hebe),Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJqEvIoZGNsN,10%,,Aktif,,,,Tidak,
Barenbliss (Hebe),Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AJtzfqkUFozl,10% 2.0,,Aktif,,,,Tidak,
Bluebutton,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJhLMgSNxyW2,9%,Ya,Aktif,,,,Tidak,
Capykit,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKWZw7jw6iZL,9%,,Aktif,,,,Tidak,
Clear,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKfQK3dHOFql,9-17%,,Aktif,,,,Tidak,
Conley Shop,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ818AEB7dEz,9%,,Aktif,,,,Tidak,
Conley Shop,Food & FMCG,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJ8194IEuM8o,10%,,Aktif,,,,Tidak,
Corolla (Fashion Sepatu),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIsIpczSqds5,9%,Ya,Aktif,,,,Tidak,
Deoxide,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKo4EJq0drtX,9%,,Aktif,,,,Tidak,
DiliDili.Shop,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ7uR5g687Dx,9%,,Aktif,,,,Tidak,
DiliDili.Shop,Food & FMCG,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJ7uR9OZaglG,10%,,Aktif,,,,Tidak,
Facetology,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKbkSN1wNgqy,9%,,Aktif,,,,Tidak,
Facetology,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKPRPjQcwuYJ,10%,,Aktif,,,,Tidak,
Gogotales,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ62ReakimXQ,9%,,Aktif,,,,Tidak,
Golden Home Living,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIXZK4sprMG,9%-17%,,Aktif,,,,Tidak,
goojodoq store,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJJde7fZZtgg,9%,,Aktif,,,,Tidak,
Hadalabo,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKZlKZpS3HRY,9%,,Aktif,,,,Tidak,
Harifa Batik (Seller Campaign),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQ7jtSyfEYW,9%,Ya,Aktif,,,,Tidak,
HNH,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJJ2BHEQfcdP,9%,,Aktif,,,,Tidak,
Homeware.hw,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJcHhYD8w4nK,9%,,Aktif,,,,Tidak,
Labore(Paragon),Beauty & Health,HDA X LABORE,https://affiliate-id.tokopedia.com/api/v1/share/AItwY3yFXNQY,9-10%,,Updated,,,,Tidak,7 July 2026
Louis Store (Sama),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJEn0jFLxG7a,9-10%,Ya,Aktif,,,,Tidak,
Melano,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKkB2BlJnvnH,9%,,Aktif,,,,Tidak,
Mercon Merah Putih,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIW3NmJWuNG,9%,,Aktif,,,,Tidak,
Mercon Merah Putih,Food & FMCG,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJIW4kjHpIqG,10%,,Aktif,,,,Tidak,
Mercon Merah Putih,Food & FMCG,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJIW5ainqF0w,9%,,Aktif,,,,Tidak,
Mercon Merah Putih,Food & FMCG,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AJIW5GDWXiF7,10%,,Aktif,,,,Tidak,
MITALI,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJRS17Rh16E5,9%,,Aktif,,,,Tidak,
NCO Parfume,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AL7h9uMYnMwy,9%,,Updated,,,,Tidak,21 July 2026
OMG(Paragon),Beauty & Health,HDA X OMG,https://affiliate-id.tokopedia.com/api/v1/share/AJtWDXE7ww2O,9%,,Updated,,,,Tidak,7 July 2026
Oversized Outfit Hub (Fashion Unisex condong Wanita),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJDb0DwCTtAG,9-10%,Ya,Aktif,,,,Tidak,
Pinkflash,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSvSRuNI1C5,9-10%,,Aktif,,,,Tidak,
Pol Perabot,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHrgjKVVKxx,9%,,Aktif,,,,Tidak,
Ponds,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2IFT6tfVN,9-13%,,Aktif,,,,Tidak,
Roona.id,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ4JqbgJxg0H,9%,,Aktif,,,,Tidak,
Russ and Co (Fashion Pria),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ22shIK7auz,9%,,Aktif,,,,Tidak,
Scarlett Parfume,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQfLzPOGt11,9%,,Aktif,,,,Tidak,
Scora,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKGLjHeiAchc,9%,,Aktif,,,,Tidak,
Scora,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AK93leoVjIM8,10%,,Aktif,,,,Tidak,
SeaGloca.ID (Fashion Tas),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJFg1G5IQbhq,9-10%,Ya,Aktif,,,,Tidak,
Skin Aqua,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKZlQMMIcude,9-10%,,Aktif,,,,Tidak,
slide & co,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU8vOKihF6R,9%,,Aktif,,,,Tidak,
Stacey New,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AL0yrU7qdbQ8,"9,10,11,12%",,Updated,,,,Tidak,6 Juli 2026
Tiktok Rumahku ID,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJJbsIvI0tk8,9%,,Aktif,,,,Tidak,
Veet,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHrssMKwh3v,9%,,Aktif,,,,Tidak,
Xora Hijab,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJoxkzsfu4M1,9%,,Aktif,,,,Tidak,
Acnes,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKZlWuRv9zEX,8-9%,,Aktif,,,,Tidak,
BLP,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKkAyZQyIN6S,8%,,Aktif,,,,Tidak,
BMW Kitchen,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQNyeo4Ce59,8%,,Aktif,,,,Tidak,
BOJ (Beauty of jeaoson),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2zNOJkSov,8%,,Aktif,,,,Tidak,
CANI (men),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJtS9RsdlXyA,8%,,Aktif,,,,Tidak,
CBD shampoo,Beauty & Health,Victory Care Indonesia X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AJ0qXRItCH7F,8%,,Updated,,,,Tidak,29 July 2026
Cubbie Shop,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJKCLpCAODH4,8%,,Aktif,,,,Tidak,
Dragonshop77,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKX3y9ODHyNh,8%-10%,,Aktif,,,,Tidak,
Earth Love Life (Paragon),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJTOnQjjQrZU,8%,,Aktif,,,,Tidak,
Ecentio,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHrekuyYrjA,8%,,Aktif,,,,Tidak,
EGLUX,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKBzyfrjwMQD,8%-10%,,Aktif,,,,Tidak,
elsheskin,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJydfhlRAdn2,8%,,Aktif,,,,Tidak,
Evangeline Perfume,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJWZvngEzho4 8%,8%,,Aktif,,,,Tidak,
Evangeline Perfume,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJWsUUNyNq4v 9%,,,Aktif,,,,Tidak,
Finally Found You (FFY),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKr5pMRZp47u,8%,,Updated,,,,Tidak,
Finally Found You (FFY),Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKr5vxAHBcwU,8% (2.0),,Aktif,,,,Tidak,
Finally Found You (FFY),Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AKr9G4aPchOT,8% (3.0),,Aktif,,,,Tidak,
Franwell V380 CCTV,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKo9p6eOO891,8%,,Updated,,,,Tidak,
Gehel,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIW9eawQ7Yp,8%,,Aktif,,,,Tidak,
Glad2Glow,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKPynpUPgTKP,8%,,Aktif,,,,Tidak,
Glad2Glow,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKPylu25i8tO,8% (2.0),,Aktif,,,,Tidak,
Glad2Glow,Beauty & Health,campaign sendiri,https://affiliate-id.tokopedia.com/api/v1/share/AKPyyLnDiDhU,8% (3.0),,Aktif,,,,Tidak,
Glad2Glow,Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AKPz4BPmP6Fp,9%,,Aktif,,,,Tidak,
Glad2Glow,Beauty & Health,Campaign 5,https://affiliate-id.tokopedia.com/api/v1/share/AKPz4yxXLUP7,9% (2.0),,Aktif,,,,Tidak,
Glad2Glow,Beauty & Health,Campaign 6,https://affiliate-id.tokopedia.com/api/v1/share/AKPzI0bvQu2E,9% (3.0),,Aktif,,,,Tidak,
Glow FX,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK7PJMf3uQXk,8%,,Aktif,,,,Tidak,
Glow FX,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJKPLRHHDxAc,10%,,Aktif,,,,Tidak,
Goto Living,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIMqRNFNSlF,8%,,Aktif,,,,Tidak,
Hale Parfume,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJEJlfYqXZT3,8-9%,,Aktif,,,,Tidak,
Haocek,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMqMbYrhq6f,8%-11%,,Aktif,,,,Tidak,
Happy Family Storee,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLRu3Yts3ez,8%,,Aktif,,,,Tidak,
Hint,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg1r7NpYMu7,8%,,Aktif,,,,Tidak,
Hyundai Shaver,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKEYIxXexZlB,8%,,Not Updated,,,,Tidak,
Implora,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL6OxJdyVT8r,8-11%,,Updated,,,,Tidak,17 July 2026
KIIP Lifestyle,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJqu1lU3CXGT,8-11%,,Updated,,,,Tidak,
LIBY,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJBENyafLhUm,8%,,Aktif,,,,Tidak,
Lightplus,Beauty & Health,Haluan Digital Agency x Beauty 3.0,https://affiliate-id.tokopedia.com/api/v1/share/AL7Q3Clvt5aM,8%,,Updated,,,,Tidak,9 July 2026
Lip Ice,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKZlX0kuVZI0,8%,,Aktif,,,,Tidak,
Maange,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/ALDEpZ5gVWSy,8%,,Updated,,,,Tidak,
Madia Kitchenware,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKz0Z1hLbPwU,8%-9%,,Aktif,,,,Tidak,
Majestic Karpet,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQNzTXK9Xhm,8%,,Aktif,,,,Tidak,
MARS Store,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKu9Kgmiupsn,8%,,Aktif,,,,Tidak,
MAXIM,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKOP1D4sg8Po,8%,,Aktif,,,,Tidak,
MINISO,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKJwLRZ0iLFI,8-10%,,Aktif,,,,Tidak,
Miranda,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ0qW3amO9RO,8%,,Aktif,,,,Tidak,
MOMELCA,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJRRhev962og,8%,Ya,Aktif,,,,Tidak,
Morris,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU7gET43JZs 8%,8%,,Aktif,,,,Tidak,
Morris,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AK17PHzSvffN 10%,10%,,Aktif,,,,Tidak,
Nuface,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ0qWciR5NSb,8%,,Aktif,,,,Tidak,
Olike,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKmUdbmbAHfQ,8-10%,,Updated,,,,Tidak,
OMI lunchbox,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKhUKqmTpCgU,8%,,Aktif,,,,Tidak,
PURBASARI,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AL2WC7oprDSw,"8,10,11%",,Updated,,,,Tidak,9 July 2026
PURBASARI (2.0),Beauty & Health,Haluan Digital Agency x Beauty 3.0,https://affiliate-id.tokopedia.com/api/v1/share/AL2WM5lBpGEM,"8,10,11%",,Updated,,,,Tidak,9 July 2026
River Light,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLHm9dX46tp,8%-10%,,Aktif,,,,Tidak,
Rusel.Co (Fashion Tas Pria),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ0dGtpL3P1r,8%,Ya,Aktif,,,,Tidak,
Samono Indonesia,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHgvbIL67Jt,8%,,Aktif,,,,Tidak,
Secret Clean,Beauty & Health,Victory Care Indonesia X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AKyzvos4iLUf,8-9%,,Updated,,,,Tidak,29 July 2026
Skin Game,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIqorbme11Gx,8-11%,,Aktif,,,,Tidak,
Skintific,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJeTXwrqjbEo,8%,,Aktif,,,,Tidak,
Skintific,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKVkDZKBBgk6,8% (2.0),,Aktif,,,,Tidak,
Skintific,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AKSxloYWLsPH,9%,,Aktif,,,,Tidak,
Skintific,Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AKSxlcbITR1K,9% (2.0),,Aktif,,,,Tidak,
Skintific,Beauty & Health,Campaign 5,https://affiliate-id.tokopedia.com/api/v1/share/AKSy1pk7xDQ8,10%,,Aktif,,,,Tidak,
Skintific,Beauty & Health,Campaign 6,https://affiliate-id.tokopedia.com/api/v1/share/AKSxxrq9xQia,10% 2.0,,Aktif,,,,Tidak,
Suprice Store,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJcELBagGQM7,8%,,Aktif,,,,Tidak,
Swisse vitamin- Indonesia,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK8XlLdJVrMk,8%,,Aktif,,,,Tidak,
The originote,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL9CMSpfWwGv,8%,,Updated,,,,Tidak,
Torriden,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJShwpUMk773,8%,,Aktif,,,,Tidak,
Usmile,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJXEcSdw410f,8%,,Aktif,,,,Tidak,
XMVP,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJOo2wOpYniv,8%-9%,,Aktif,,,,Tidak,
YESALL,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKtdDQ5xE4Ej,8%,,Aktif,,,,Tidak,
Zinus Indonesia,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJWsuVZkfpzb,8%,,Aktif,,,,Tidak,
3CE,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKZoxLVgkEwv,7-10%,,Aktif,,,,Tidak,
Acento,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJkCRYxGWRWF,7%,,Aktif,,,,Tidak,
Advance Store,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK090wshvyVj,7%-9%,,Aktif,,,,Tidak,
Aolon,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJOB8OBa7S3d,7%,,Aktif,,,,Tidak,
AOYAMA,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJpr6pi1NQU8,7%,,Aktif,,,,Tidak,
Baseus,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJcE3bkVFBaS,7%,,Updated,,,,Tidak,
BONBOX,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKNyZVGTwyuL,7%,,Aktif,,,,Tidak,
Braven,Beauty & Health,HALUAN DIGITAL x PERFUME BRANDS,https://affiliate-id.tokopedia.com/api/v1/share/AL9CDzQ2cICR,7%,,Updated,,,,Tidak,7 July 2026
Buttered,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKbii2hdciK3,7%,,Aktif,,,,Tidak,
Cerave,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKLE67mQEdw5,7%,,Aktif,,,,Tidak,
Cerave,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKLE9Wvp5tv0,8%,,Aktif,,,,Tidak,
Charm Unicharm,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGPBIOB3gYJ,7%,,Aktif,,,,Tidak,
CPM,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJmHtaTY6Z5u,7%,,Aktif,,,,Tidak,
Dasterbeauty,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbAH4zxoVn8,7%,Ya,Aktif,,,,Tidak,
Dazzle me,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJruQazergBN,7-9%,,Aktif,,,,Tidak,
Dazzle Me (Hebe),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJruQazergBN,7-8%,,Aktif,,,,Tidak,
ETIFE,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKteY6OIYxKF,7%-11%,,Aktif,,,,Tidak,
Facerinna,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK9uZhrFExtk,7%,,Aktif,,,,Tidak,
Facerinna,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AK9rcomTzuTB,8%,,Aktif,,,,Tidak,
For Love & Lemons,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU8uzzXcSXk,7%,,Aktif,,,,Tidak,
Gaabor,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIO5VIP74at,7%,,Aktif,,,,Tidak,
Glamazing,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJTNbVDC6gj3,7-9%,,Aktif,,,,Tidak,
Herborist,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMofQ7VgtrM,7%,,Aktif,,,,Tidak,
KAHI,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQ8FtuHzlAM,15%,,Aktif,,,,Tidak,
KAHI,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJQ8FtuHzlAM,7%,,Aktif,,,,Tidak,
Lacera,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg0bu9TL0SI,7%,,Aktif,,,,Tidak,
Lauskin,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AItDAJKmR5Hr,7-13%,,Aktif,,,,Tidak,
LeDingDing,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHiVPEAOVte,7%-9%,,Aktif,,,,Tidak,
LeDingDing,Home & Living,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJIMymotJ0yg,12%,,Aktif,,,,Tidak,
Lifree Unicharm,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJGP9xP4Ry0h,7%,,Aktif,,,,Tidak,
LRP / La Roche Posay,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKLE5kQIpwxT,7%,,Aktif,,,,Tidak,
LRP / La Roche Posay,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKLE5tvE6Bcs,8%,,Aktif,,,,Tidak,
MAHI Buavita,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHu7m9TKflC,7%,,Aktif,,,,Tidak,
MAHI Royco,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHu2DCguQXQ,7%,,Aktif,,,,Tidak,
MAHI Sariwangi,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHu5woyIdkB,7%,,Aktif,,,,Tidak,
MINISO (HL),Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJJbpRxTEjDI,7%-12%,,Aktif,,,,Tidak,
