Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
Heyxi,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2aFcIl3b7,12%,,Aktif,,,,Tidak,
JIB Indonesia,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJINLE0oSb5F,12%,,Aktif,,,,Tidak,
JJ Glow,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/ALAK4zlXgakB,12%,,Updated,,,,Tidak,27 July 2026
Kime,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKdtEVeVaLcz,12%,,Aktif,,,,Tidak,
Kime,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKdtEcrfJ6yE,13%,,Aktif,,,,Tidak,
Kymm Skin,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJd9CmEh4ZnN,12%,,Aktif,,,,Tidak,
Kymm Skin,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJ0lkkSK7c91,13%,,Aktif,,,,Tidak,
Lash Boss,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU7gdrUfmK0,12%,,Aktif,,,,Tidak,
Les Catino,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJjHZ5qsQgHQ,12%,Ya,Aktif,,,,Tidak,
Loreal Hair,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKP6ePX3X60b,12%,,Aktif,,,,Tidak,
Loreal Main(Beauty),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJo7Lm2yz5u6,12%,,Aktif,,,,Tidak,
Maybelline,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/ALAhfskWHSK4,12%,,Updated,,,,Tidak,
Metoo,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL0EgbI9GW8Q 12%,12,,Aktif,,,,Tidak,
No Void Minds,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbagLMEnhwK,12%,,Aktif,,,,Tidak,
otwoo,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKriCFesIWOX,12%,,Aktif,,,,Tidak,
Porto Footwear,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJNpbcW9jgnn,12%,Ya,Aktif,,,,Tidak,
Premiere Beaute,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJTAHB4OOnSh,12%,,Aktif,,,,Tidak,
Raecca,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJmQZV9V7FvQ,12%,Ya,Aktif,,,,Tidak,
Raecca,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJmQX1sUFReQ,12% 2.0,Ya,Aktif,,,,Tidak,
Sculpt.id,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJpMPdOAp8hx,12%,,Aktif,,,,Tidak,
SINDA,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJp0A3x2LRCo,12%,,Aktif,,,,Tidak,
Tavi (Paragon),Beauty & Health,HDA X TAVI,https://affiliate-id.tokopedia.com/api/v1/share/AKeqslD9uc4U,12%,,Updated,,,,Tidak,23 July 2026
